"Name", "Phone", "Industry", "Working Hours", "Employee Size", "Benefits", "Language", "Email", "Description"
"AKADEMI TEKNIK INFORMATIKA TUNAS BANGSA","+62 2122562567","Education","Regular hours, Mondays - Fridays","1 - 50","","English, Indonesia","","Akademi Teknik Informatika Tunas Bangsa is located in West Jakarta that provides 2 study programs: Information System and Accounting Information System. Both programs have been accredited by Badan Akreditasi Nasional Perguruan Tinggi."
"Akademi Teknik Telkom Purwokerto","(0281)641629","Education","","1 - 50","","","","Akademi Teknik Telkom (AKATEL) Sandhy Putra Purwokerto merupakan perguruan tinggi swasta dibawah binaan PT. Telekomunikasi Indonesia,Tbk melalui Yayasan Sandhykara Putra Telkom, AKATEL didirikan pada tanggal 31 Mei 2002 dengan SK pendirian Mendiknas Republik Indonesia nomor 111/D/O/2002.Saat ini AKATEL Purwokerto mempunyai satu program studi, yaitu D3 Teknik Telekomunikasi, yang merupakan program studi langka dan satu-satunya perguruan tinggi swasta di Jawa Tengah yang membuka program studi D3 Teknik Telekomunikasi. Hal ini menjadikan para alumni banyak dicari oleh para vendor telekomunikasi serta perusahaan di bidang telekomunikasi, informasi dan broadcasting.AKATEL Purwokerto sejak tahun 2010 dikelola bersama dengan Institut Teknologi Telkom (IT Telkom) Bandung sehingga kualitas pembelajaran dan pengelolaan dapat disetarakan dengan IT Telkom Bandung. Sampai saat ini AKATEL telah ter-akreditasi BAN-PT dengan nomor004/BAN-PT/AI-XII/Dpl-III/V/2012,dan pada tahun 2012 ini AKATEL Purwokerto telah mengajukan prubahan institusi menjadi Sekolah Tinggi Teknologi Telematika Telkom dengan program studi unggulan S1 Teknik Telekomunikasi dan S1 Teknik InformatikaSISTEM PEMBELAJARAN Metode pembelajaran di AKATEL Purwokerto menggunakan metode 60% Praktek, serta 40% teori. Selain itu juga AKATEL menerapkan pola link and match dengan dunia industri dalam wujud mewajiban para mahasiswa untuk magang diberbagai perusahaan telekomunikasi. Pembelajaran program studi D3 teknik telekomunikasi dapat diselesaikan dalam waktu 2,5 dan 3 tahun dengan jumlah beban studi yang diberikan kepada mahasiswa selama pendidikan adalah 120 SKS. dengan memberikan pengalaman perkuliahan menuju pembentukan keahlian professional dalam bidang INFOKOM. Kurikulum yang diberlakukan pada Program Studi D3 Teknik Telekomunikasi memiliki kandungan sertifikasi kompetensi dalam beberapa bidang, yaitu bidang komputer dasar, pemrograman mobile dan jaringan komputer serta kemampuan berbahasa inggris. Seluruh kompetensi tersebut wajib dimiliki oleh setiap mahasiswa hingga akhir masa studi. Sertifikasi kompetensi yang diperoleh merupakan sertifikasi resmi yang bersifat nasional maupun internasional. Daftar sertifikasi kompetensi tersebut yaitu:Keterampilan Komputer dan Pengelolaan Informasi (KKPI), Cisco Certified Network Associate (CCNA Level 1 - 4), Java Education Network Indonesia (JENI), Test Of English For International Communication (TOEIC Level 1 - 4) Secara periodik kurikulum AKATEL dilakukan evaluasi dan penyempurnaan untuk menampung dinamika yang berkembang pada industry dan jasa informasi komunikasi (INFOKOM). Kurikulum yang berlaku saa ini adalah kurikulum 2009 hasil penyempurnaan bersama antara AKATEL, Rearch and Development PT.TELKOM (RisTi), PT.Telkomsel, Assosiasi Satelit Selutuh Indonesia (ASSII), dan Institut Teknologi Telkom (IT Telkom) Bandung."
"Akademi Pariwisata Medan Hotel School","+62 61-7852956","Education","","1 - 50","","","","Akademi Pariwisata Medan Hotel School adalah sebuah lembaga pendidikan di wilayah sumatera utara medan.dan saat ini kami sedang membutuhkan staff baru untuk bergabung bersama kami untuk menempati beberapa posisi di antara nya"
"Akame Restaurant","+62 361- 8775442","Food & Beverage/Catering/Restaurant","Saturdays/Shift required","51 - 200","","indonesia dan inggris","","Warung Akame adalah sebuah rumah makan yang bernuansa alam di tengah- tengah hiruk pikuknya kota denpasar dan kuta, Warung akeme di klilingi oleh kolam pemancingan dan hutan mangrove yang luas, yang menyajikan makanan seafood dengan bahan- bahan yang segar.\nWarung Akame bukan hanya tempat makan tapi juga tempat rekreasi yang sangat nyaman dengan fasilitas yang lengkap"
"Akimurah.com (Surabaya)","031-70880909","Others","","1 - 50","","","","Akimurah.com adalah sebuah perusahaan yang bergerak dalam bidang Retail & Online Store Aki / Battery. Berlokasi di daerah kota Surabaya, saat ini kami sedang membutuhkan karyawan yang professional dan dinamis untuk posisi :"
"Akeno Digital Printing ( Malang )","Tel:  62-341-573712 \t\t\tFax: \t62-341-573713","Advertising/Marketing/Promotion/PR","","1 - 50","","","","Akeno Digital Printing adalah perusahaan yang bergerak di penyediaan produk layanan dan service Advertising - Outdoor di Malang 65144 Jawa Timur.dan saat ini kami sedang membutuhkan staff baru untuk mengisi posisi kasir dan design grafis"
"AKR Land Development","+62 21 5311555","Property/Real Estate","Regular hours, Mondays - Fridays","501 - 1000","Loans, Medical, Education support, Miscellaneous allowance","Bahasa Indonesia","","Inspiring Innovation, Exciting Life.. As a privately owned property company, AKR Land Development, is continuously developing luxurious and elegant properties at new heights. Our portfolios include resorts, residences, and commercial parks.\nProperties developed by AKR Land Development are designed to improve the quality of life of our residents and users. Concepts such as combining lifestyle with preservation of nature and thematic luxury concepts are implemented throughout the development of our properties.\nAKR Land Development is committed to create a balance between life and nature, which is why every project delivers a different kind of lifestyle, extraordinary luxury, pleasure and also profitable business. By applying the nature of preservation and sustainable development concepts, all properties are created in perfect harmony. Notwithstanding, the right business model is being implemented in the projects to pave the way for lucrative investment to the investors.\nWe are looking for potential candidates who dynamic, hard-working individual, with the ability to lead actively participation in towards our continuing success. To support our fast growth, we are seeking for highly qualified professional candidates to join our team."
"Aksen Tropis","+62 87830924200","Food & Beverage/Catering/Restaurant","Saturdays/Shift required","51 - 200","","Bahasa Indonesia","","Kami Perusahaan yang bergerak di bidang Batik atau Fashion, Developer, Guest House dan Restauran yang berdiri sejak tahun 2005. Saat ini kami sedang berkembang dan membutuhkan staf yang memiliki komitment dan visi jangka panjang, jujur dan bisa bekerja sama untuk bersama-sama memajukan perusahaan."
"Aksen Indonesia","+62 81806735317","Arts/Design/Fashion","Regular hours, Mondays - Fridays","1 - 50","","Bahasa Indonesia & English","","Established in 2015, AKSEN is a Jakarta-based branding consultant and graphic design studio. Known for our holistic approach in branding and design practices, our services revolve around the concrete and conceptual ideas that reinforce your brand such as business assessment, branding, graphic design, art direction, visual identity, content creation, physical & digital touch point, photography, and environmental design."
"Akses+ Jember","+62 331-489124","Banking / Financial Services","","1 - 50","","","","AKSES+ merupakan sebuah perusahaan yang bergerak dibidang pelayanan jasa PPOB (Payment Point Online Bank), melayani pembayaran online baik menggunakan mesin EDC maupun Internet banking. Kami mencari kandidat untuk menempati posisi sebagai :"
"Akur Optik Bantul","0274-386355","Retail/Merchandise","Saturdays/Shift required","51 - 200","","Bahasa Indonesia","","Akur Optik, Kami Perusahaan yang melayani Kebutuhan Konsumen yang khususnya di bidang perkacamataan atau optik Akur optik bantul berada di Yogyakarta saat ini kami membuka lowongan pekerjaan untuk kandidat baru"
"AkzoNobel","+62 217456777","Manufacturing/Production","Regular hours, Mondays - Fridays","201 - 500","Parking, Loans","English","","AkzoNobel\nThe World Of AkzoNobel\nEUR 14.6 Bio Revenue (as of end of 2014)\n80+ Countries\n49600 Employees\n200+ Production Sites\n+/- 100 International Brands\nAkzoNobel is a leading global paints and coatings company and a major producer of specialty chemicals. We supply industries and consumers worldwide with innovative products and are passionate about developing sustainable answers for our customers. We operate in a number of important market segments ranging from buildings and infrastructure to transport, industrial and consumer goods.\nOur portfolio includes well-known brands such as Dulux, Sikkens, and International. Headquartered in Amsterdam, the Netherlands, We're also the sector leader in sustainability and are number one in the renowned Dow Jones Sustainability Index. In practical terms, that means our sustainable solutions are in your lives, and those of your friends and family, every day: the differentiator that makes it possible for you to do what you need to do.\nWithout our products and technologies, you would find it difficult to go on a journey, sit in a room, or even enjoy a meal. If you want to create an inspiring environment, our huge range of indoor and outdoor paints can match every mood. If you want to look good, we make vital ingredients for face creams, hair products, perfumes and deodorants. Even in extreme situations, like being in a building that catches fire, our protective coatings can help structures stay intact for longer, giving you more time to escape.\nWith operations in more than 80 countries, our 50,000 people around the world are committed to delivering leading products and technologies to meet the growing demands of our fast-changing world.\nBusiness Area:\nDecorative Paints\nPerformance Coatings\nEnd-User Segment:\nBuildings and Infrastructure\nTransportation\nIndustrial"
"Al Jabr Islamic School","021-75913676","Education","Regular hours, Mondays - Fridays","51 - 200","lunch, Medical","Indonesia - English","","Al jabr Islamic School is a bilingual school (Indonesian – English at an international level with friendly environment. Educators give full attention to each students so that he/she develop their individual knowledge, skills, and attitudes. The school has strong parent involvement, is environmentally conscious, and practices the Islamic way of life.\nMission\nOur mission is to provide and maintain a high quality education for our community of learners to develop and maximize their potential through active learning and real life experiences to become well rounded individuals mentally, physically, emotionally and academically in creating a better world with the respect of Islamic values in a global community."
"Al Nutrition","+62 24-70580526","Agricultural / Plantation / Poultry / Fisheries","Regular hours, Mondays-Fridays","51 - 200","Miscellaneous allowance, Vision, -, Education support","Bahasa Indonesia","","AL-NUTRITION together with PT. SIDO MUNCUL PUPUK NUSANTARA are active in the development of products used in animal husbandry as well as the marketing and sales of these products worldwide.AL-NUTRITION is also working in partnership with some of the largest cooperation in Agriculture.Through our partners we are currently active in more than 30 countries worldwide."
"AL HAMRA","031-5353631","Food & Beverage/Catering/Restaurant","Mondays-Saturdays","1 - 50","Miscellaneous allowance","Bahasa Indonesia","","Al Hamra Restaurant merupakan restoran Timur Tengah termewah di Jawa Timur. Menyajikan masakan khas yang menjadi hidangan para raja dan sultan di Timur Tengah. Tidak hanya dari menu masakan, kekhasan Timur Tengah juga terlihat dari desain bangunan yang bergaya Maroko dan aroma semerbak gahru yang menenangkan.\nDi restaurant ini anda akan merasakan sensasi sejenak terbang ke negeri seribu satu malam. Selain dine-in dengan layanan bagai seorang raja, Al Hamra Restaurant juga memberikan layanan delivery dan take away. Nikmatnya sajian Al Hamra Restaurant juga dapat anda rasakan untuk hidangan acara spesial anda seperti arisan, tasyakuran dan aqiqoh.\nBagi anda yang ingin mencoba suasana meeting baru selain dikantor. Meeting Room Al Hamra telah dilengkapi projector, screen, memopad, pencil, candy, coffee break, lunch dan layanan bagai seorang raja tentunya. Selain menyediakan Meeting Room, Al Hamra Restaurant juga menyediakan VIP Room atau Kings Corner. Kings Corner sangat cocok bagi anda yang menginginkan ruangan privat dengan layanan yang premium. Al Hamra Restaurant juga menyediakan lunch buffet."
"AL'S CATERING","021-7764265","Food & Beverage/Catering/Restaurant","6 days","51 - 200","Medical","Bahasa Indonesia","","..... URGENTLY REQUIRED .....\nKami adalah sebuah perusahaan yang bergerak dibidang Catering Services Management.\nKantor pusat  kami terletak di daerah Jakarta selatan , dan ditahun 2016 kami telah membuka kantor cabang di Seminyak - Bali.\nAL'S catering berdiri sejak tahun 1990, dan menjadi catering yang professional.\nkami mengundang Bapak/Ibu untuk bergabung bersama kami menjadi bagian dari tenaga kerja professional di catering kami."
"AL-Group","024-86010067","Textiles/Garment","Regular hours, Mondays - Fridays","1 - 50","-","Bahasa Indonesia","","AL group memulai persiapannya pada tahun 2011, rencana awalnya ialah untuk mengembangkan produk lingerie kualitas premium untuk para wanita modern di Asia. Selama beberapa waktu terakhir, AL group menjadi salah satu produsen produk garmen paling dinamis dan modern di Indonesia.\nSelama kurun waktu terakhir, ide-ide baru lahir dan sukses berkembang menjadi line-line tambahahan dan pengembangan pasar, sebagai contohnya yaitu pakaian dalam pria, atasan wanita, gaun malam, pakaian olahraga dan distribusi kosmetik. AL-Group saat ini memiliki 6 merek, memproduksi sendiri produknya dan memiliki lingkungan kerja yang modern yang mengelola sejumlah sarana penjualan online seperti website dan platform media sosial.\nAL-group bukan perusahaan yang sangat besar namun sangat kreatif, fleksibel dan beroperasi menggunakan teknologi dan proses produksi terbaru di industrinya. Bersama team muda yang berdedikasi dan memiliki motivasi tinggi, kami mengerjakan suatu hal yang kami sebut Fasio-N-ation.\nBerpusat di Semarang, Jawa tengah, kami mengembangkan visi kami sendiri dan menciptakan pemahaman lebih baik yang lebih eksklusif dari perusahaan lainnya. Kami memproduksi produk berkualitas premium dalam jumlah terbatas, bukan 100.000 produk yang sama! Kami tidak memproduksi lebih dari beberapa ratus produk untuk memastikan bahwa klien kami tidak akan pernah merasa bahwa mereka memakai salah satu produk yang sama dari satu juta orang lainnya, karena kami percaya bahwa setiap orang adalah unik seunik AL group."
"Alam Sari Keliki Hotel","+62361981420","Hotel/Hospitality","Maonday - Saturday","1 - 50","Medical","Bahasa Indonesia","","Alam Sari, which in Indonesian means natural essence, is where you experience the life of Bali through its people and the natural tropical beauty.\nSet in the cool, green hills north of Ubud, wake to the sight of Mount Agung, Bali's sacred mountain, and the magnificent views that our hilltop setting provides.\nLocated close to the traditional artist's village of Keliki, walk down village lanes through rural landscape with our Alam Sari guides, and experience the friendliness of the Balinese people and Bali's unique culture.\nAlam Sari has a strong environmental ethic, and is committed to working in harmony with the land and the people of Bali. Stay two nights and enjoy Alam Sari's tour of Keliki village for free!"
"Alammaya Mesari PT","+62 361-4457615","Property/Real Estate","Regular hours, Mondays - Fridays","51 - 200","","Bahasa Indonesia","","Plaza Renon menghadirkan sebuah konsep baru dengan ragam menu kuliner yang ada baik restaurant maupun gerai kuliner ternama. Meet, eat adn Fun adalah tagline yang digunakan untuk membangun atmosphere dan menciptakan aktivitas di Plaza Renon untuk menjangkau target pasar yaitu anak muda, pegawai kantor dan wisatawan yang sedang berlibur atau tinggal diseputaran Sanur"
"Albert Yanuar","021-45857942","Arts/Design/Fashion","Regular hours, Mondays - Saturdays","1 - 50","Medical","Bahasa Indonesia","","Albert Yanuar adalah perusahaan yang begerak dibidang fashion dengan label Albert Yanuar. Saat ini kami sedang mengalami perkembangan usaha yang signifikan dibidang ini dengan dukungan team professional."
"Alden Interior","031-7673859","Arts / Design / Fashion","Saturdays or Shift required & long hours","1 - 50","Medical, Miscellaneous allowance, Dental, Parking","Bahasa Indonesia","","Alden Interior, Our company engaged in the field of interior design. founded in 2011 years ago.We emphasize and create designs that reflect the personality and lifestyle needs. Alden is a firm of architect and interior design with modern and contamporary design in every project.3D Visualitation of digital in every process of our design to make the reference Work up until a certain deadline. VisiBeing a profesional interior contracting company and become number one in market share in Indonesia. and make the companies that go Public.MisiWith increasing client satisfaction is remains one of our top priorities. Increase sales of interior construction services to the premium market through unique marketing techniques that have a high value brand image"
"ALDIRON HERO GROUP","+62 7990333","Property/Real Estate","Regular hours, Mondays - Fridays","201 - 500","Parking, Medical","Bahasa Indonesia","","ALDIRON HERO GROUP\nAldiron Hero Group (AHG) was established in the late of 1960s and has emerged as the pioneer in modern shopping center developer in mid 1970’s. Today, AHG have businesses in: Real Estate, Property/Asset Management, Mining, Trading, Plantation, Parking Management, Security Services."
"Alena Beauty Care","031-28841795","Healthcare/Medical","","1 - 50","","","","Kami badan usaha perorangan yang bergerak di bidang Health & Beauty Care Beberapa perawatan di Alena Beauty Care: facial,body spa,peeling,akupuntur,treatment kebotakan rambut,dan Lain-lain.Saat Ini Kami Badan Usaha Perorangan Yang Bergerak Di Bidang Health & Beauty Care Membutuhkan :"
"Aletheia School","+62 216451070","Education","Regular hours, Mondays - Fridays","1 - 50","Medical","Bahasa Indonesia","","Aletheia School adalah salah satu Sekolah Kristen yang berkembang dengan lokasi di wilayah Jakarta Pusat, dan merupakan bagian dari Yayasan Kasih Aletheia, Saat ini membutuhkan dengan segera karyawan untuk posisi:"
"Alfa Group","+62 2131996958","Advertising/Marketing/Promotion/PR","Regular hours, Mondays - Fridays","1 - 50","Education support, overseas trip","Bahasa Indonesia","","ALFA Group is part of APPCO GROUP that started in Australia that extended its operations to Southeast Asia in 1995 including Indonesia. We have more than 800 branches worldwide. We specialize in creating long-term brand awareness and provide cost-effective solutions for a portfolio of clients ranging from banking and telecommunications to internationally prominent NGO's.\nIn our business, recruiting, training and retraining is an ongoing process that provides us the opportunity to not only discover excellent sales executives, but unique individuals who can lead teams, direct campaign inspires his peers and multiply talent among our organization. We've had 20 years to fine create a process that empowers us to identify the right candidates.\nOur training program revolves around a mentor student relationship based on modeling a successful leader in a fun and progressive manner. This approach never fails to achieve better results often in shorter period of time."
"Alfa Land Group","+62 21-58900789","Property/Real Estate","Regular hours, Mondays - Fridays","501 - 1000","Medical, Parking, Badminton, Futsal, Yoga","Bahasa Indonesia","","Alfa Land Group, adalah grup perusahaan yang bergerak di bidang properti dan hospitality di kota-kota seluruh wilayah Indonesia. Saat ini, kami mengundang Anda para profesional, handal, dan memiliki motivasi tinggi untuk bergabung di posisi sebagai:"
"Alfacart (PT Sumber Trijaya Lestari)","021-55755966","Retail/Merchandise","Regular hours, Mondays - Fridays","51 - 200","Parking, Medical","Bahasa Indonesia","","As part of Alfa Group,Alfacart change the business into Digital Extention of Alfagroup, which focus on 6 pillars that support new business model.\nAlfacart focus to empowering entrepreneurs and micro business in Indonesia, to meet the needs and expectations of our customer as well as compete in a global scope\nWith all the network, we are very sure that for the near future, this kind of business will be stronger, reliable and trustworthy"
"Alfamart (PT Sumber Alfaria Trijaya, Tbk)","+62 21-82499234","Retail/Merchandise","Regular hours, Mondays - Fridays","More than 5000","Miscellaneous allowance","Bahasa Indonesia","","PT Sumber Alfaria Trijaya, Tbk merupakan salah satu perusahaan retail minimarket terkemuka di Indonesia dengan lisensi merk dagang Alfamart. Saat ini PT Sumber Alfaria Trijaya, Tbk telah membuka 32 kantor cabang yang tersebar di Pulau Jawa, Bali, Sumatera, Kalimantan, Sulawesi & Lombok dengan lebih dari 9.000 toko & 96.000 karyawan. Seiring dengan perkembangan & ekspansi bisnis ke beberapa daerah, maka kami membutuhkan Sumber Daya Manusia yang profesional & tangguh serta bertanggung jawab untuk bergabung & bertumbuh bersama kami."
"Alfalink Overseas Studies and English Course (Semarang)","(024) 3567889","Education","Mon - Fri regular hours 9-5, Sat: 9-2","51 - 200","Education support","combination between Indonesian & English","","ALFALINK is Indonesia's most reputable Overseas Education Consultant / Agent with a vision to help students prepare their study abroad. Our company has been operating and growing consistently since it was officially founded in 2001. Currently we have 9 offices in 6 cities: Bandung, Jakarta, Tangerang, Malang, Makassar, Semarang, and Surabaya; and are still growing rapidly.Our mission is to improve the quality of human resource in the globalization era and to have a positive impact on education by providing professional development opportunities for students by studying overseas."
"ALFINDO GROUP","+62 21-55703333","Agricultural/Plantation/Poultry/Fisheries","Saturdays/Shift required","51 - 200","Miscellaneous allowance, Medical","Bahasa Indonesia","","Alfindo group is a company with business in trade poultry products. We have vision and mission to development of the indonesian individual through improvements and nutritional good and in accordance with health standards. We invite young generation to continue to work developing our nation with us. TOGETHER WE CAN."
"Ali Budiardjo, Nugroho, Reksodiputro (ABNR)","+62 21-2505125","Law/Legal","Regular hours, Mondays - Fridays","51 - 200","Dental, Medical, Parking, Vision","English","","We are, Ali Budiardjo, Nugroho, Reksodiputro (ABNR), Counsellor at Law, one of the oldest, largest and most prominent law firm in Indonesia, established in 1967 and supported by more than 100 lawyers."
"Alga Pratama","+62 21-29423330","General & Wholesale Trading","Regular hours, Mondays - Fridays","1 - 50","Miscellaneous allowance","Bahasa Indonesia","","PT Alga Pratama merupakan perusahaan yang bergerak dalam bidang penjualan/distribusi Security System yang berlokasi di Jakarta Utara.\nUntuk menunjang bisnis yang terus berkembang saat ini kami membutuhkan kandidat professional untuk menempati posisi sbb :"
"Alien design consultant","021-56958925","Architectural Services/Interior Designing","Regular hours, Mondays - Fridays","1 - 50","Medical, Miscellaneous allowance","Bahasa Indonesia","","Alien design consultants is a multi discipline design consultant , mainly in architectural design. Our projects comprised of residentials, office towers, hotels, and also private houses. For more info, please visit our website or instagram @alien.dc We are a young and a new company with also young peoples with a vision to dominate the architectural service market in south east asia. Be a part of us to grow together and make a new legacy ."
